county,date,quantile,hosp_census_with_covid,icu,Rt
Alpine,2023-03-23,0.04999999999999999,,,NA
Alpine,2023-03-23,0.95,,,1.2096274332623944
Alpine,2023-03-30,0.5,,,0.9403749178761338
Alpine,2023-03-30,0.04999999999999999,,,NA
Alpine,2023-03-30,0.95,,,1.2030629884933546
Alpine,2023-04-06,0.5,,,0.9399246459142752
Alpine,2023-04-06,0.04999999999999999,,,NA
Alpine,2023-04-06,0.95,,,1.2125542470872777
Alpine,2023-04-13,0.5,,,0.939191887114423
Alpine,2023-04-13,0.04999999999999999,,,NA
Alpine,2023-04-13,0.95,,,1.2016433608826331
Alpine,2023-04-20,0.5,,,0.9463276928736312
Alpine,2023-04-20,0.04999999999999999,,,NA
Alpine,2023-04-20,0.95,,,1.19770185754504
Alpine,2023-04-27,0.5,,,0.944768666524981
Alpine,2023-04-27,0.04999999999999999,,,NA
Alpine,2023-04-27,0.95,,,1.2057649321905364
Alpine,2023-05-04,0.5,,,0.9426927216302402
Alpine,2023-05-04,0.04999999999999999,,,NA
Alpine,2023-05-04,0.95,,,1.1997813620699096
Alpine,2023-05-11,0.5,,,0.9403200146897892
Alpine,2023-05-11,0.04999999999999999,,,NA
Alpine,2023-05-11,0.95,,,1.2032995445280397
Alpine,2023-05-18,0.5,,,0.9454807084895124
Alpine,2023-05-18,0.04999999999999999,,,NA
Alpine,2023-05-18,0.95,,,1.2092072596033443
Alpine,2023-05-25,0.5,,,0.94589038914129
Alpine,2023-05-25,0.04999999999999999,,,NA
Alpine,2023-05-25,0.95,,,1.2182684202351326
Alpine,2023-06-01,0.5,,,0.9472314756587344
Alpine,2023-06-01,0.04999999999999999,,,NA
Alpine,2023-06-01,0.95,,,1.2309098857563212
Alpine,2023-06-08,0.5,,,0.9462305004093632
Alpine,2023-06-08,0.04999999999999999,,,NA
Alpine,2023-06-08,0.95,,,1.2133366479182828
Alpine,2023-06-15,0.5,,,0.943908649911004
Alpine,2023-06-15,0.04999999999999999,,,NA
Alpine,2023-06-15,0.95,,,1.2207785778674591
Alpine,2023-06-22,0.5,,,0.9400806774911574
Alpine,2023-06-22,0.04999999999999999,,,NA
Alpine,2023-06-22,0.95,,,1.213858054328198
Alpine,2023-06-29,0.5,,,0.939551022464538
Alpine,2023-06-29,0.04999999999999999,,,NA
Alpine,2023-06-29,0.95,,,1.2165607750349894
Alpine,2023-07-06,0.5,,,0.9378488747312902
Alpine,2023-07-06,0.04999999999999999,,,NA
Alpine,2023-07-06,0.95,,,1.2038549557337883
Alpine,2023-07-13,0.5,,,0.9391389103313428
Alpine,2023-07-13,0.04999999999999999,,,NA
Alpine,2023-07-13,0.95,,,1.2053384598684411
Alpine,2023-07-20,0.5,,,0.938984588883852
Alpine,2023-07-20,0.04999999999999999,,,NA
Alpine,2023-07-20,0.95,,,1.2072524757392724
Alpine,2023-07-27,0.5,,,0.9408677918099366
